DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.252482	25	2	1	1	12	3	1	0	730	0	0	34.7312	0	0
DL	0.252732	25	2	2	1	12	3	1	0	730	0	0	34.7077	0	0
DL	0.252982	25	2	3	1	12	3	1	0	730	0	0	34.7277	0	0
DL	0.253232	25	3	0	1	12	3	1	0	25224	28	0	34.6878	0	0
DL	0.253482	25	3	1	1	12	3	1	0	25224	28	0	34.7306	0	0
DL	0.253714	25	3	2	1	11	3	1	0	23120	28	0	34.7208	0	0
UL	0.253732	25	3	2	12	1	3	1	0	58	0	0	34.7553 	0	0
DL	0.253929	25	3	3	1	9	3	1	0	18918	28	0	34.739	0	0
UL	0.253946	25	3	3	10	1	3	1	0	58	0	0	34.7377 	0	0
DL	0.254143	25	4	0	1	7	3	1	0	14713	28	0	34.7132	0	0
UL	0.254161	25	4	0	8	1	3	1	0	58	0	0	34.7726 	0	0
DL	0.254393	25	4	1	1	7	3	1	0	14713	28	0	34.7785	0	0
DL	0.254643	25	4	2	1	7	3	1	0	14713	28	0	34.798	0	0
DL	0.254893	25	4	3	1	7	3	1	0	14713	28	0	34.7008	0	0
DL	0.255732	25	5	2	1	12	2	1	0	730	0	0	38.3233	0	0
DL	0.255982	25	5	3	1	12	2	1	0	730	0	0	38.3455	0	0
DL	0.256214	25	6	0	1	11	2	1	0	669	0	0	38.3345	0	0
UL	0.256232	25	6	0	12	1	2	1	0	58	0	0	38.3021 	0	0
DL	0.256482	25	6	1	1	12	2	1	0	25224	28	0	38.3432	0	0
DL	0.256732	25	6	2	1	12	2	1	0	25224	28	0	38.4043	0	0
DL	0.256982	25	6	3	1	12	2	1	0	25224	28	0	38.3891	0	0
DL	0.257232	25	7	0	1	12	2	1	0	25224	28	0	38.4137	0	0
DL	0.257482	25	7	1	1	12	2	1	0	25224	28	0	38.423	0	0
DL	0.257732	25	7	2	1	12	2	1	0	25224	28	0	38.3967	0	0
DL	0.257982	25	7	3	1	12	2	1	0	25224	28	0	38.46	0	0
DL	0.258232	25	8	0	1	12	2	1	0	25224	28	0	38.3895	0	0
DL	0.258482	25	8	1	1	12	2	1	0	25224	28	0	38.3559	0	0
DL	0.258732	25	8	2	1	12	2	1	0	25224	28	0	38.3751	0	0
DL	0.258982	25	8	3	1	12	2	1	0	25224	28	0	38.373	0	0
DL	0.259232	25	9	0	1	12	2	1	0	25224	28	0	38.4081	0	0
DL	0.259482	25	9	1	1	12	2	1	0	25224	28	0	38.3955	0	0
DL	0.259732	25	9	2	1	12	2	1	0	25224	28	0	38.3853	0	0
DL	0.259982	25	9	3	1	12	2	1	0	25224	28	0	38.3898	0	0
DL	0.260232	26	0	0	1	12	2	1	0	25224	28	0	38.381	0	0
DL	0.260482	26	0	1	1	12	2	1	0	25224	28	0	38.3876	0	0
DL	0.260679	26	0	2	1	9	2	1	0	18918	28	0	38.3436	0	0
DL	0.260893	26	0	3	1	7	2	1	0	14713	28	0	38.314	0	0
DL	0.261143	26	1	0	1	7	2	1	0	14713	28	0	38.1987	0	0
DL	0.261393	26	1	1	1	7	2	1	0	14713	28	0	38.1619	0	0
DL	0.261643	26	1	2	1	7	2	1	0	14713	28	0	38.1658	0	0
DL	0.261893	26	1	3	1	7	2	1	0	14713	28	0	38.1597	0	0
